person_id,name,current_party
ocd-person/cf441c62-91b4-52f5-b9c7-04a45290e5e4,A. Drew Ferguson IV,Republican
ocd-person/a5212de0-6253-5b67-8473-2b00d1f22da6,Aaron Bean,Republican
ocd-person/d1b6eea9-e526-593d-b87a-0e926c3f2303,Abigail Davis Spanberger,Democratic
ocd-person/c5a3238c-f36a-5b17-af62-ca6dcce0b91d,Adam B. Schiff,Democratic
ocd-person/55a28978-7661-5a33-a2be-a505a07e2a8e,Adam Smith,Democratic
ocd-person/39f36070-b860-5345-a3cc-ea7fdbf7dfb3,Adrian Smith,Republican
ocd-person/0d73f18d-36c1-526d-9d5c-5a0a63ff60af,Adriano Espaillat,Democratic
ocd-person/2ad84a53-f957-5a9c-861b-413aac608201,Al Green,Democratic
ocd-person/fadd82ac-5031-5efd-ae39-1afc3f3cd6fb,Alex Padilla,Democratic
ocd-person/1b959af6-5bbc-5e3b-855f-9a140244c31c,Alexander X. Mooney,Republican
ocd-person/d2a8d710-a781-5a40-b6f2-e46bffcf40d2,Alexandria Ocasio-Cortez,Democratic
ocd-person/76bfaf2b-8259-5f56-bce9-d1c8cd6c780d,Alma S. Adams,Democratic
ocd-person/79c4f42e-4775-5ed0-a7e1-d0c942ce6c34,Ami Bera,Democratic
ocd-person/2722e0b1-650d-5f77-a348-f7f0d66aa3e2,Amy Klobuchar,Democratic
ocd-person/ef4b4ed3-1808-548d-8625-2cea913c2e4a,André Carson,Democratic
ocd-person/54f931b7-9a94-5c93-8585-0967370ffb86,Andrea Salinas,Democratic
ocd-person/5916e23e-c486-5d60-88c8-56bb65c23763,Andrew Ogles,Republican
ocd-person/4ec1dbc4-ea21-5f61-92b1-fa55b47a4c61,Andrew R. Garbarino,Republican
ocd-person/0dbe5471-29ea-5c84-8270-f55fee08d118,Andrew S. Clyde,Republican
ocd-person/fe2fa2c7-83de-5bf2-b602-6ca9f7fc8a6f,Andy Barr,Republican
ocd-person/86b4b077-b73b-579b-bb73-bc5a4a73719a,Andy Biggs,Republican
ocd-person/74a68d2f-f563-50d8-80a7-408346b8ba14,Andy Harris,Republican
ocd-person/62227c11-1ad4-5395-b233-f1f526efc5b4,Andy Kim,Democratic
ocd-person/6b47c0e2-77d5-5126-b7a5-82bea8fb9c67,Angie Craig,Democratic
ocd-person/273dd641-da15-5fc0-bdc9-496cc9b65fbd,"Angus S. King, Jr.",Independent
ocd-person/7ed34023-b42f-57bc-af69-b36a680122f2,Ann M. Kuster,Democratic
ocd-person/12958b9f-2301-5bdb-bf13-81b3de147574,Ann Wagner,Republican
ocd-person/047b7a92-9713-54e5-8429-bcd2214908c7,Anna G. Eshoo,Democratic
ocd-person/d18ec0cb-328b-54c8-8785-5f924799f5fe,Anna Paulina Luna,Republican
ocd-person/e024e123-9750-5f4e-bc3d-6d892218868d,Anthony D’Esposito,Republican
ocd-person/50705d33-6967-5424-8f57-7df22ecbc6e6,Ashley Hinson,Republican
ocd-person/2519c079-f97e-532b-b53e-167398fd7398,August Pfluger,Republican
ocd-person/eb3fa86b-690c-5cc0-8f5e-54af60f28a06,Aumua Amata Coleman Radewagen,Republican
ocd-person/20c33933-79f5-58d1-834c-60779932257e,Austin Scott,Republican
ocd-person/ab80da0d-902f-5d28-b765-1885853182bd,Ayanna Pressley,Democratic
ocd-person/3cbc3ca2-4447-50e2-abed-ba3fe86569d8,Barbara Lee,Democratic
ocd-person/13e07344-3cec-5f29-a27b-2dd6979dbeb5,Barry Loudermilk,Republican
ocd-person/b242258c-669a-53a7-be30-5f529f03398e,Barry Moore,Republican
ocd-person/510c6c69-df0f-5b09-b4c7-066256ace832,Becca Balint,Democratic
ocd-person/bb0d60f6-19a4-5229-a67d-a1d428e7c0b2,Ben Cline,Republican
ocd-person/5f5817b7-43b0-5bb3-93de-0f838a801635,Ben Ray Luján,Democratic
ocd-person/18b53a95-c658-5a23-8c3e-074a7e0d27e3,Benjamin L. Cardin,Democratic
ocd-person/c171d352-db84-5c96-8260-1fcd7eab2575,Bennie G. Thompson,Democratic
ocd-person/a1ec37b6-9f54-529a-8165-ff96e9d8d93e,Bernard Sanders,Independent
ocd-person/861bd195-d8aa-5e72-9699-4f5ad3d5e499,Beth Van Duyne,Republican
ocd-person/61c4224a-c1d6-5739-bca6-0db7e58d84bd,Betty McCollum,Democratic
ocd-person/851546e4-4af0-5505-8a1c-4f2a83813589,Bill Cassidy,Republican
ocd-person/a512ad2f-4554-5b04-a00b-1de672f9099a,Bill Foster,Democratic
ocd-person/fb408324-49e1-56ad-8425-65c2a1e88103,Bill Hagerty,Republican
ocd-person/ce06af2e-4591-560d-8f14-8f1817c9ad1f,Bill Huizenga,Republican
ocd-person/bff03292-2b2c-55fc-aa20-83dce2fccd77,"Bill Pascrell, Jr.",Democratic
ocd-person/40abdb56-d1b4-54a3-bc53-b586f8c06ac3,Bill Posey,Republican
ocd-person/686325e7-8dc3-587d-9ee1-e0ad14202350,Blaine Luetkemeyer,Republican
ocd-person/3854aa11-1cec-58f6-8e90-c721a0db3525,Blake D. Moore,Republican
ocd-person/e53e5a13-c82a-5208-96d0-f6769c0d8a67,Bob Good,Republican
ocd-person/ff55ab02-9d61-544c-8f4d-710a09d8f5db,Bonnie Watson Coleman,Democratic
ocd-person/bc26b71a-566f-57fd-9d5b-23bc27e4c4a4,Brad Finstad,Republican
ocd-person/717ac307-3248-5726-bdcf-de58d683943f,Brad R. Wenstrup,Republican
ocd-person/4015098b-d823-5776-9b47-ceb09bf523a9,Brad Sherman,Democratic
ocd-person/a3c68bbd-f241-52c8-a7e9-7f340f316b7a,Bradley Scott Schneider,Democratic
ocd-person/4b5ef955-4806-51d0-83f3-177000f67b3c,Brandon Williams,Republican
ocd-person/d1509871-89c0-5f39-bc3d-b55e444e3909,Brendan F. Boyle,Democratic
ocd-person/a7ba76d3-828f-52bd-9b30-cdbacf0af2b8,Brett Guthrie,Republican
ocd-person/e1f14f02-810c-52c5-8ad5-b2744b95a069,Brian Babin,Republican
ocd-person/e7b50abf-92e8-56f1-a5f7-7db9a63fb43f,Brian J. Mast,Republican
ocd-person/a6a4c673-58ba-587b-b36b-7a559c379f23,Brian K. Fitzpatrick,Republican
ocd-person/bd24fe60-5756-5d23-bcbf-4734f366c257,Brian Schatz,Democratic
ocd-person/4f00239f-feef-59fa-87de-5a62e277bb5f,Brittany Pettersen,Democratic
ocd-person/c46204bc-8484-585e-91de-6053bd3c3cbc,Bruce Westerman,Republican
ocd-person/3203c6f1-12ea-59aa-aeb4-9faa94e04f17,Bryan Steil,Republican
ocd-person/f5c47b2f-8eb9-51f9-b403-d41b5bdcd229,Burgess Owens,Republican
ocd-person/c281df65-bcd6-5f42-860c-874e38bcd03a,Byron Donalds,Republican
ocd-person/6badec3f-9e2b-5f2c-8683-dd8a7ae87d9f,C. A. Dutch Ruppersberger,Democratic
ocd-person/9db37a87-2ba9-56a0-9b42-89697222e044,Carlos A. Gimenez,Republican
ocd-person/1ad151d2-5d26-5421-9b6f-a87d4a05396f,Carol D. Miller,Republican
ocd-person/00bdfb60-1b6f-5a4a-9157-b7cafc399c46,Catherine Cortez Masto,Democratic
ocd-person/b420935f-8662-5012-ab5a-befcdc9e39f2,Cathy McMorris Rodgers,Republican
ocd-person/d242dd37-9f71-5412-9328-798305153967,Celeste Maloy,Republican
ocd-person/ced62f94-88a6-5a4b-b470-89cf1ee4bdac,Charles E. Schumer,Democratic
ocd-person/640abb7e-8890-59bc-b5cb-b21c88288657,"Charles J. ""Chuck"" Fleischmann",Republican
ocd-person/78a440e5-f314-5f5b-930b-48ab822bb39a,Chellie Pingree,Democratic
ocd-person/2398f81d-6371-544d-a7ff-24cf993a716b,Chip Roy,Republican
ocd-person/22a8725b-acc8-530a-9a57-6b0a7f750fca,Chris Pappas,Democratic
ocd-person/6b768c01-2e7d-5316-9ece-d5e215648f85,Chris Van Hollen,Democratic
ocd-person/04b67b59-b46f-5db7-96e3-a78591cf0734,Chrissy Houlahan,Democratic
ocd-person/792faee4-b972-54ed-b42d-47b41a22ccb3,Christopher A. Coons,Democratic
ocd-person/84a22f15-cf83-5f0b-a048-a6fc50aa60fe,Christopher H. Smith,Republican
ocd-person/ef439b89-0461-56c7-aec5-93b6369e18a7,Christopher Murphy,Democratic
ocd-person/06299567-cfd4-5679-ad04-893e9f980275,Christopher R. Deluzio,Democratic
ocd-person/1b8394c7-93d4-5a22-91cf-264782834b9b,Chuck Edwards,Republican
ocd-person/259d896b-e9b5-5237-9243-f5597ae0db7c,Chuck Grassley,Republican
ocd-person/3827ab20-4901-56bc-a6ea-e7c275da9eb9,Cindy Hyde-Smith,Republican
ocd-person/21f20fe0-1075-512d-99a6-cafcebf57d20,Claudia Tenney,Republican
ocd-person/ffc5bfa2-67c8-5743-afa6-3250b0752485,Clay Higgins,Republican
ocd-person/dd9d3668-b18a-5102-8628-7f2972350402,Cliff Bentz,Republican
ocd-person/45574c8a-7f88-525b-b5b8-255a8d69f335,Colin Z. Allred,Democratic
ocd-person/adba4aa8-0d6a-5a7f-9a71-d1a9f9c5e1a0,Cori Bush,Democratic
ocd-person/d0bb2662-40b6-52d2-94e6-2bf9d588c954,Cory A. Booker,Democratic
ocd-person/e9c6e580-58c8-5a0c-a18c-d11c073a9964,Cory Mills,Republican
ocd-person/b6ae1e91-803f-5ce8-98fe-86f85c52dd42,Cynthia M. Lummis,Republican
ocd-person/e54a4532-aa1e-5e2d-b630-4f35ef10a46f,Dale W. Strong,Republican
ocd-person/ff2f62f3-ccac-57d0-bcad-47a3bfeacb79,Dan Bishop,Republican
ocd-person/6e2bcde3-a1f5-5296-9f9f-88c71885f3db,Dan Crenshaw,Republican
ocd-person/c2de8671-10f6-5eb3-8624-a9fd877464b5,Dan Newhouse,Republican
ocd-person/a6b5e853-563f-5b87-a14a-a1427f56b262,Dan Sullivan,Republican
ocd-person/df0edff1-f76c-5916-b28e-f70338b23a7a,Daniel Meuser,Republican
ocd-person/4c77555b-f35d-53ca-8c7d-7950b90a1b60,Daniel S. Goldman,Democratic
ocd-person/ba55e5b8-ac4e-5ea8-b7a8-d180e10a3562,Daniel T. Kildee,Democratic
ocd-person/04db1dc5-1903-5913-a439-fed236ff85a3,Daniel Webster,Republican
ocd-person/a494987e-6674-5df8-a8b2-de4b5a99de86,Danny K. Davis,Democratic
ocd-person/a7bc3999-648e-58ed-b606-f387e825427c,Darin LaHood,Republican
ocd-person/15e5e4c2-568f-55b4-9aa2-54797027c984,Darrell Issa,Republican
ocd-person/ef44884b-f8bf-542b-b1ae-f36c7cf8e962,Darren Soto,Democratic
ocd-person/cf552a34-e9e1-5de9-9270-b5b441dd89fe,David G. Valadao,Republican
ocd-person/e23c900b-5d24-55cb-a1d1-73ac69e597ef,David J. Trone,Democratic
ocd-person/5beaa710-fc70-563c-9842-f885e13d9aea,David Kustoff,Republican
ocd-person/b7ff0450-1acd-5127-b3f5-7246374119a9,David P. Joyce,Republican
ocd-person/5e9726e3-2aae-5708-9227-0e95ac43c203,David Rouzer,Republican
ocd-person/100d00e0-275c-5bd0-960e-c24c3b50a8e5,David Schweikert,Republican
ocd-person/e6650822-1063-5485-b062-d169ea173ec2,David Scott,Democratic
ocd-person/501837d6-d9cc-5b1e-a2e3-e53f047192a5,Dean Phillips,Democratic
ocd-person/1e87267c-1e9f-5e46-a266-b1d557a8571b,Deb Fischer,Republican
ocd-person/b48d0289-7d22-5bb4-bd17-b351aa3ec4a2,Debbie Dingell,Democratic
ocd-person/ce00d736-9c65-52f1-9cdf-aff115c2b7b4,Debbie Lesko,Republican
ocd-person/a18130ac-79f6-54ad-a80d-14b143f0742f,Debbie Stabenow,Democratic
ocd-person/7bacff4a-1d4a-5c4f-a59c-311206c181d2,Debbie Wasserman Schultz,Democratic
ocd-person/ea21df34-9ef4-5746-b83a-700bdc2d1918,Deborah K. Ross,Democratic
ocd-person/34d76857-187b-5f62-a2d1-ddfcd13494cf,Delia C. Ramirez,Democratic
ocd-person/0a7f80ad-caf7-5d0b-b50b-441764153649,Derek Kilmer,Democratic
ocd-person/b96b406a-d60a-57fe-96d1-c1dd5b189ab1,Derrick Van Orden,Republican
ocd-person/241df76f-7089-5821-ab7f-bb54d92ee9d7,Diana DeGette,Democratic
ocd-person/b090c59e-4d88-5d35-99ba-ec3798f88978,Diana Harshbarger,Republican
ocd-person/51152aac-2c93-5445-99ed-026df5b6ad37,Dina Titus,Democratic
ocd-person/d409840c-63c1-53e4-9ff6-e5677cef9fe6,Don Bacon,Republican
ocd-person/33867761-33c6-5036-b3da-43fb485b65c9,Donald G. Davis,Democratic
ocd-person/fa65b2cc-a6a5-56fa-8c78-5bc2ecdd93e6,"Donald M. Payne, Jr.",Democratic
ocd-person/b0e4bf70-7945-5f39-bb1b-f993a59367b4,Donald Norcross,Democratic
ocd-person/63d110f3-ccdb-5783-9d6a-4a7103f30c01,"Donald S. Beyer, Jr.",Democratic
ocd-person/5262c34c-a015-5290-9ca4-3b6ec86f4b1d,Doris O. Matsui,Democratic
ocd-person/4e34a7cb-7c10-5e5d-8086-a33ef00207bd,Doug LaMalfa,Republican
ocd-person/c4154717-8bdf-5a5e-ac05-24c35f195a78,Doug Lamborn,Republican
ocd-person/1bc146c5-42d6-5bf7-a862-34747a4b8ed7,Dusty Johnson,Republican
ocd-person/c9d5abc5-4c4a-5ff5-a132-8885eb020e6e,Dwight Evans,Democratic
ocd-person/acd197d4-7996-5b4c-b01d-a61702d99385,Earl Blumenauer,Democratic
ocd-person/85e43f57-4901-52fd-9fad-57373277f5e1,"Earl L. ""Buddy"" Carter",Republican
ocd-person/20f1a4db-1281-5e3f-9d6d-657a3f178b3f,Ed Case,Democratic
ocd-person/bceb5ccd-31b0-5d03-894d-03cf2cbb2771,Edward J. Markey,Democratic
ocd-person/709b6b03-c38f-540b-85f2-83c16f62d3bd,Eleanor Holmes Norton,Democratic
ocd-person/e59ccc1e-b5f0-5b86-9b5b-a8fbf6038665,Elijah Crane,Republican
ocd-person/febd3b9d-501f-5191-aaff-87666a5af603,Elise M. Stefanik,Republican
ocd-person/e7ebade8-8c17-50e0-ac00-70e0327b9071,Elissa Slotkin,Democratic
ocd-person/3de20aaf-f982-5aa3-8280-c5154be829aa,Elizabeth Warren,Democratic
ocd-person/8ea538b9-6af5-5683-8b4b-9061f89691c1,Emanuel Cleaver,Democratic
ocd-person/93c5c8f8-8311-547d-9465-9e7fdc557769,Emilia Strong Sykes,Democratic
ocd-person/9a89c225-65e9-5680-a780-9802c17cb7c4,"Eric A. ""Rick"" Crawford",Republican
ocd-person/6a54b336-ad96-5ceb-a963-50fe0f56c288,Eric Burlison,Republican
ocd-person/999df51b-9318-55b9-b0f6-d738ffc1d62d,Eric Schmitt,Republican
ocd-person/42d739b0-f570-5d50-b549-eeaa2c7507ee,Eric Sorensen,Democratic
ocd-person/032302ae-d513-5e31-bafc-8bc3cbb18d7c,Eric Swalwell,Democratic
ocd-person/c5e2bb91-8e10-5b4c-a442-bf5edb05bd45,Erin Houchin,Republican
ocd-person/90a2bdbf-1b51-5e72-aef9-5a98c305f31d,Frank D. Lucas,Republican
ocd-person/c6c1c65f-7735-5ebb-951c-56d6cacc8ebb,Frank J. Mrvan,Democratic
ocd-person/dfcc16d4-7116-5a16-bf7f-81c6f10d8276,"Frank Pallone, Jr.",Democratic
ocd-person/bd701bdc-2944-5bb8-b4bf-e2914e6e1241,Frederica S. Wilson,Democratic
ocd-person/c0f06e59-7d28-535f-8efe-5f49f273763d,Gabe Amo,Democratic
ocd-person/e643b29f-840b-51ac-aba1-62c85eb9e36c,Gabe Vasquez,Democratic
ocd-person/6b0fb307-b985-56d0-83d3-c17a01e9b98e,Garret Graves,Republican
ocd-person/edbfabfd-d26b-5d22-9a5d-f079181608f8,Gary C. Peters,Democratic
ocd-person/1add3f9c-2946-50ed-92e9-fa54a98fe985,Gary J. Palmer,Republican
ocd-person/ef3e7d6c-ac3c-58d2-9404-0b164aea0477,George S. Helmy,Democratic
ocd-person/716b011f-3673-558d-b35f-d5a454cafa81,Gerald E. Connolly,Democratic
ocd-person/57016d46-c931-5a93-aeb5-1ffec71fb87e,Glenn Grothman,Republican
ocd-person/3e53830a-108c-5864-92f1-9f9c8f7b1d0f,Glenn Ivey,Democratic
ocd-person/2faf9e06-f667-5b60-830f-2161dae9c77a,Glenn Thompson,Republican
ocd-person/228dc55f-1b76-5458-b344-4df46c4e632a,Grace F. Napolitano,Democratic
ocd-person/ae123357-c70e-5d29-b16f-2d17775ab0f6,Grace Meng,Democratic
ocd-person/3b0de391-3f75-564b-9b1c-c793300ff1a9,Greg Casar,Democratic
ocd-person/63dfcb23-8196-5bd6-a5cc-b6592d99150e,Greg Landsman,Democratic
ocd-person/b513aafd-8615-53db-910f-b0d3e4c0dec6,Greg Lopez,Republican
ocd-person/4c0bab34-0485-54c6-8b00-15042f52fd87,Greg Pence,Republican
ocd-person/3300ee9c-6602-5be9-9bb5-2fb7f65a8d5c,Greg Stanton,Democratic
ocd-person/3f4f5bab-eae1-594a-a93f-53c463b03d5b,Gregorio Kilili Camacho Sablan,Democratic
ocd-person/b66a5d85-c9cd-5689-a482-d175230ab86d,Gregory F. Murphy,Republican
ocd-person/372b42da-f525-5938-9a01-e21378fe287c,Gregory W. Meeks,Democratic
ocd-person/cd29931a-8dab-5ad7-8d4e-f0066cce7d4c,Gus M. Bilirakis,Republican
ocd-person/58bfb394-46c1-51e6-9f85-c3f091ddada7,Guy Reschenthaler,Republican
ocd-person/0223a517-1c97-5425-8bca-2120c45ce2e5,Gwen Moore,Democratic
ocd-person/562f0794-c1fb-50ee-b69c-3a01b25cfc3a,H. Morgan Griffith,Republican
ocd-person/f06d8480-e875-5184-8316-4140a912a03d,Hakeem S. Jeffries,Democratic
ocd-person/62d84fce-0ff4-53df-b7a8-4c02d1dc8654,Haley M. Stevens,Democratic
ocd-person/8b8caa4b-52c1-54aa-bb51-bd0bccdc69b9,Harold Rogers,Republican
ocd-person/17005404-0e78-5bcc-8a71-d67af0e033fd,Harriet M. Hageman,Republican
ocd-person/51b7316e-0885-571b-8a2e-daf54dd906bb,"Henry C. ""Hank"" Johnson, Jr.",Democratic
ocd-person/f67869ed-f124-54ce-b870-600ae4ff20e8,Henry Cuellar,Democratic
ocd-person/55404260-10e4-59e0-b228-2a01a21fb952,Hillary J. Scholten,Democratic
ocd-person/dc1ded48-08a5-5981-be73-53bbbe668782,Ilhan Omar,Democratic
ocd-person/73ff0305-598d-5558-9b5e-6834be8a503a,J. French Hill,Republican
ocd-person/86b65fd7-4549-51fa-80e8-eaf3daf3e60e,J. Luis Correa,Democratic
ocd-person/5a8792bc-1520-56aa-ab19-729008cd559b,J.D. Vance,Republican
ocd-person/5f3b131a-0f64-5d55-875a-2861e5347727,Jack Bergman,Republican
ocd-person/e62576aa-1bf5-5664-ad0f-b1fdbcdead56,Jack Reed,Democratic
ocd-person/2f7f8ec5-f652-5c47-8dcb-06d7bc54557c,Jacky Rosen,Democratic
ocd-person/1d87ca8c-1a95-531f-bbdd-34e1679d45d2,Jahana Hayes,Democratic
ocd-person/a68063b7-2ce8-5638-a836-4fa7b22b3432,Jake Auchincloss,Democratic
ocd-person/7add5a36-095e-5209-b94f-71b436555100,Jake Ellzey,Republican
ocd-person/b4bfc55d-3cdd-5a6e-accf-912a2b2d28b8,Jake LaTurner,Republican
ocd-person/e79a7ea4-9fcd-5c43-99b3-68bee77eb928,Jamaal Bowman,Democratic
ocd-person/e1a8d4da-7cbd-571e-817d-774ff06bb342,James A. Himes,Democratic
ocd-person/4f6d6ecb-8f69-5f40-9965-ac5fab1e3dba,James C. Moylan,Republican
ocd-person/57b0c699-cef2-5740-bd15-4ad2562f8975,James Comer,Republican
ocd-person/e24e02a4-f70c-5b9e-84e2-eda2d153f80f,James E. Clyburn,Democratic
ocd-person/e8bb2501-1603-543f-9667-9089f781aa97,James E. Risch,Republican
ocd-person/62a44404-9be2-5bbc-b672-0ed5f1aba53d,James Lankford,Republican
ocd-person/d44223bc-5f00-56aa-be61-28b5a3b4429d,James P. McGovern,Democratic
ocd-person/749232ec-b66c-5bd7-b828-10a466b95f0a,James R. Baird,Republican
ocd-person/289b4cb5-a838-5b08-8f74-e06d4d251ae7,Jamie Raskin,Democratic
ocd-person/c5e8693c-dca3-5ff7-b456-e71d944e4fb0,Janice D. Schakowsky,Democratic
ocd-person/3c47a44a-29b8-5aa1-b61a-9e49ea0caf99,Jared F. Golden,Democratic
ocd-person/c2b08e7d-2372-5af6-b333-7ea2787cb3ca,Jared Huffman,Democratic
ocd-person/356c2159-c402-51d8-b4eb-697aaff46dc2,Jared Moskowitz,Democratic
ocd-person/fafd6715-85a1-509b-98d1-6df68904f028,Jasmine Crockett,Democratic
ocd-person/fb2f7d0c-f39b-50a6-8bdc-8bdc181683bc,Jason Crow,Democratic
ocd-person/559a5a0c-4b35-56f0-aa59-76c98e6cfb45,Jason Smith,Republican
ocd-person/d78f994b-01dc-5dfb-a08f-fc2ca2cef7ec,Jay Obernolte,Republican
ocd-person/6d497134-2c53-5987-add8-6fffeaa96cda,Jeanne Shaheen,Democratic
ocd-person/5c67147e-00d5-5430-b1c1-59a6da4269d6,Jeff Duncan,Republican
ocd-person/4f9693d4-e175-536f-bd51-e884f84b9a6d,Jeff Jackson,Democratic
ocd-person/96291b83-ea59-594a-97cf-630189e0b8ed,Jeff Merkley,Democratic
ocd-person/a7706596-7110-5866-935b-b44668b92af1,Jefferson Van Drew,Republican
ocd-person/130d2a3b-6ca1-560e-b0cd-a7c08366cff3,Jennifer Kiggans,Republican
ocd-person/6d89e5cc-c605-55ff-ba4d-b3d58d6ac1af,Jennifer L. McClellan,Democratic
ocd-person/660e8554-8d00-501a-bd27-e65689d39837,Jennifer Wexton,Democratic
ocd-person/3f563cbe-7057-5771-b8d0-6e2e063da96f,Jenniffer González-Colón,Republican
ocd-person/d6cd4f62-7c5f-5595-ac5e-4e40741e5f3b,Jerrold Nadler,Democratic
ocd-person/6813a4c1-4353-5517-9314-5d36ecebabfd,Jerry L. Carl,Republican
ocd-person/00c39487-8eec-5494-af5e-96e9b025a39b,Jerry Moran,Republican
ocd-person/f89c416f-c08d-5251-9a31-201a5265e283,"Jesús G. ""Chuy"" García",Democratic
ocd-person/8bd432ce-3c98-5811-afd6-65f19c5ab6ba,Jill N. Tokuda,Democratic
ocd-person/befb976c-1369-5d86-a53f-4aeebdf486cc,Jim Banks,Republican
ocd-person/8d953afe-9b42-5c80-9f43-4ccf8af79513,Jim Costa,Democratic
ocd-person/bc5dadc9-a085-507e-82e1-1622d9a1fc90,Jim Jordan,Republican
ocd-person/20be777c-8a2b-54c6-9b54-df88ff19b8ae,Jimmy Gomez,Democratic
ocd-person/946e688a-6b60-567e-bea7-893eb4364acc,Jimmy Panetta,Democratic
ocd-person/d0fe7bc7-b883-5485-814f-f7cee999e409,Joaquin Castro,Democratic
ocd-person/4938e6be-7c14-536d-a559-91c74fcc17db,Jodey C. Arrington,Republican
ocd-person/b34622c6-66c7-5f9a-822f-55e3f9ac3c73,Joe Courtney,Democratic
ocd-person/3da2fb45-0c89-544c-b41d-888d623cf99c,"Joe Manchin, III",Independent
ocd-person/04243e35-118c-5541-a21e-763c594a083a,Joe Neguse,Democratic
ocd-person/af50abf4-b711-5bbc-a920-465e39c99f42,Joe Wilson,Republican
ocd-person/4d2b82fc-189e-5007-980f-64a85612afdb,John B. Larson,Democratic
ocd-person/80f88c07-5f6d-5ca3-8121-9202259a50f2,John Barrasso,Republican
ocd-person/b352dd8b-dd06-57b0-833a-2b0b3bd33ad6,John Boozman,Republican
ocd-person/d274933a-e19d-5d3b-ab91-dc6611aaadd1,John Cornyn,Republican
ocd-person/6f500f52-75ce-5cf0-afc6-5be71f0921d2,John Fetterman,Democratic
ocd-person/d4381c32-b267-5e35-b118-c0da3a0a80a1,John Garamendi,Democratic
ocd-person/5ab7829c-a819-5616-ac0e-a0aaa359f493,John H. Rutherford,Republican
ocd-person/18c027d3-52ca-5a48-a4d2-73167e382096,John Hoeven,Republican
ocd-person/f32918a9-b738-5f20-8c3e-f95c7fda80cb,John James,Republican
ocd-person/50b75c29-4e98-5622-b60f-59485dcc1141,John Joyce,Republican
ocd-person/7a996578-ee76-59c8-856c-4f63861a62da,John Kennedy,Republican
ocd-person/a1232c4d-25eb-555a-85a3-b2e168a086c1,John P. Sarbanes,Democratic
ocd-person/7b014168-dc13-5568-96df-8c7cbb335268,John R. Carter,Republican
ocd-person/7cc5139d-8e53-560c-9828-926395e1552d,John R. Curtis,Republican
ocd-person/cb38b814-2794-505a-9232-f1bd56ca3ca0,John R. Moolenaar,Republican
ocd-person/b8e3fe12-d102-5c54-a4d2-be9d6a3f73f9,John S. Duarte,Republican
ocd-person/342214ae-2e66-50a4-9a10-acc467bd5d98,John Thune,Republican
ocd-person/e4ea61a6-63ea-53e6-b61e-4c735a0b7818,John W. Hickenlooper,Democratic
ocd-person/a30feb1f-c9fe-5612-808e-8fe5a55b76dc,John W. Rose,Republican
ocd-person/4e48da38-17ab-5580-bced-2ea00b9b2843,Jon Ossoff,Democratic
